 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.09185485e+00
 1.08839840e+00 1.13525493e+00
 1.18461108e+00 1.17401635e+00
 1.28932880e+00 1.20880542e+00
 1.40330341e+00 1.24015379e+00
 1.52735318e+00 1.26849375e+00
 1.66236876e+00 1.29418261e+00
 1.80931950e+00 1.31751988e+00
 1.96926045e+00 1.33875972e+00
 2.14333993e+00 1.35812014e+00
 2.33280775e+00 1.37578993e+00
 2.53902423e+00 1.39193387e+00
 2.76346991e+00 1.40669687e+00
 3.00775623e+00 1.42020714e+00
 3.27363707e+00 1.43257873e+00
 3.56302135e+00 1.44391358e+00
 3.87798674e+00 1.45430317e+00
 4.22079456e+00 1.46382987e+00
 4.59390605e+00 1.47256809e+00
 5.00000000e+00 1.48058521e+00
 6.00000000e+00 1.49567428e+00
 7.55555556e+00 1.51117644e+00
 9.11111111e+00 1.52137128e+00
 1.06666667e+01 1.52858714e+00
 1.22222222e+01 1.53396373e+00
 1.37777778e+01 1.53812498e+00
 1.53333333e+01 1.54144120e+00
 1.68888889e+01 1.54414613e+00
 1.84444444e+01 1.54639454e+00
 2.00000000e+01 1.54829304e+00
